open time	open	high	low	close	volume	number of trades
2018-05-04	0.5	1.5	0.5	0.8899	20890213.8	37492
2018-05-05	0.8898	0.935	0.888	0.9028	16816165.3	26476
2018-05-06	0.9028	0.918	0.83774	0.86483	16002035.8	28713
2018-05-07	0.86482	0.86886	0.8	0.8249	17303486.4	29174
2018-05-08	0.8249	0.84802	0.792	0.80667	12971303.2	23010
2018-05-09	0.80667	0.81894	0.7569	0.79481	13982375.9	26971
2018-05-10	0.79481	0.80572	0.74085	0.74558	10136895.7	20175
2018-05-11	0.7492	0.75602	0.64758	0.6761	31292480.0	50248
2018-05-12	0.67376	0.71	0.62519	0.68522	18181151.1	33907
2018-05-13	0.68192	0.7501	0.66456	0.72999	17521261.8	29953
2018-05-14	0.72999	0.7499	0.68585	0.72694	21771365.0	35859
2018-05-15	0.72695	0.74892	0.6801	0.689	12951988.4	22403
2018-05-16	0.689	0.712	0.65756	0.70585	11182432.7	18836
2018-05-17	0.70942	0.712	0.6482	0.65849	10070061.1	17108
2018-05-18	0.65849	0.68255	0.646	0.67766	10140675.1	17434
2018-05-19	0.67698	0.69139	0.6611	0.67339	6854397.8	11991
2018-05-20	0.67483	0.70659	0.668	0.6994	8055673.9	15301
2018-05-21	0.6994	0.705	0.66666	0.67612	7908213.6	15647
2018-05-22	0.67612	0.67817	0.635	0.63782	7567010.7	14642
2018-05-23	0.63782	0.64488	0.5731	0.59198	20078062.2	31407
2018-05-24	0.59053	0.64	0.57617	0.62814	14214140.1	24696
2018-05-25	0.62966	0.63391	0.59336	0.60459	20060607.9	22182
2018-05-26	0.60596	0.62618	0.59771	0.60852	25800066.4	20665
2018-05-27	0.60907	0.648	0.59705	0.60416	23735080.8	17852
2018-05-28	0.60417	0.6091	0.5434	0.54689	29854808.1	26621
2018-05-29	0.54689	0.60921	0.54303	0.59998	30948291.2	27166
2018-05-30	0.5997	0.626	0.58101	0.60149	31305613.1	25759
2018-05-31	0.60051	0.62255	0.58829	0.6114	33579966.9	28332
2018-06-01	0.6114	0.62428	0.6024	0.62151	34403361.9	26882
2018-06-02	0.62236	0.65204	0.61513	0.64269	37211532.2	30570
2018-06-03	0.64285	0.69101	0.63862	0.6901	37142715.5	34763
2018-06-04	0.6901	0.707	0.6351	0.65507	48289982.6	51519
2018-06-05	0.65508	0.686	0.6328	0.67464	42509387.8	39571
2018-06-06	0.67507	0.6833	0.653	0.6741	34326183.8	31424
2018-06-07	0.6738	0.69	0.67089	0.67756	35031819.0	28989
2018-06-08	0.6777	0.68	0.65832	0.6721	32089604.0	22990
2018-06-09	0.67211	0.68	0.65514	0.6574	31323211.8	19776
2018-06-10	0.65687	0.6585	0.55	0.58201	47688606.6	45053
2018-06-11	0.58202	0.6	0.56	0.59989	23744329.9	26713
2018-06-12	0.59901	0.5991	0.5415	0.5556	29332950.6	27017
2018-06-13	0.5556	0.56124	0.50401	0.52862	36877773.1	30883
2018-06-14	0.52863	0.569	0.51934	0.55769	35000456.5	28822
2018-06-15	0.55765	0.55927	0.52447	0.53258	25702497.7	21219
2018-06-16	0.53224	0.5385	0.51733	0.53275	26240580.6	19238
2018-06-17	0.53232	0.5437	0.51999	0.52617	33461820.8	18128
2018-06-18	0.52669	0.5535	0.50818	0.5387	33893328.6	25331
2018-06-19	0.53835	0.56185	0.5207	0.54834	28857265.3	20714
2018-06-20	0.54833	0.55188	0.52065	0.53916	34683099.0	23483
2018-06-21	0.53919	0.549	0.52899	0.53457	29891909.8	19507
2018-06-22	0.5342	0.53506	0.46859	0.48216	41843180.7	31757
2018-06-23	0.48287	0.49909	0.47333	0.49005	27230808.7	18211
2018-06-24	0.48963	0.51	0.43724	0.47331	41451907.4	32181
2018-06-25	0.47418	0.4992	0.47123	0.48125	31726495.2	21583
2018-06-26	0.48125	0.48241	0.4511	0.453	17670678.0	12386
2018-06-27	0.45218	0.47518	0.44787	0.4701	29671588.2	17841
2018-06-28	0.47042	0.47396	0.442	0.44575	35784353.9	19786
2018-06-29	0.4463	0.46124	0.42393	0.45321	37535516.8	24570
2018-06-30	0.45346	0.48318	0.45312	0.46796	37495051.8	22107
2018-07-01	0.46797	0.46989	0.45007	0.46222	31676174.1	16731
2018-07-02	0.46222	0.4954	0.452	0.4899	39873781.8	24340
2018-07-03	0.48913	0.52	0.47801	0.4844	44333181.6	28822
2018-07-04	0.48469	0.508	0.47941	0.49097	26722886.3	16907
2018-07-05	0.49155	0.50295	0.46887	0.4769	30689285.9	20079
2018-07-06	0.47772	0.48156	0.45747	0.47698	26805008.7	17487
2018-07-07	0.47644	0.488	0.46381	0.48494	28584029.2	14854
2018-07-08	0.4852	0.48798	0.4751	0.47915	31480979.3	17034
2018-07-09	0.47872	0.48201	0.47015	0.473	26690553.6	15248
2018-07-10	0.4728	0.47338	0.43866	0.44337	30651668.1	19920
2018-07-11	0.44247	0.45134	0.43957	0.44872	28635928.2	16031
2018-07-12	0.449	0.44932	0.4236	0.43675	30380599.5	16925
2018-07-13	0.43706	0.44509	0.43001	0.43754	33168644.3	18301
2018-07-14	0.43761	0.4443	0.431	0.43864	27141582.3	13496
2018-07-15	0.43864	0.45004	0.43509	0.44681	33882949.8	16126
2018-07-16	0.44695	0.4858	0.4435	0.48173	41419524.1	26379
2018-07-17	0.48173	0.52019	0.4665	0.50728	48166296.2	32812
2018-07-18	0.50651	0.52525	0.4752	0.48868	48747453.6	37079
